JAR Health Check Report
=======================

JAR Files
---------
List of JAR files found in classpath.

Artifact     | Version | Source                  | Size    | Multi-release | Java version (classes)     | Resources | Packages                                                | Checksum (SHA-1)                         | Coordinates                          | Issues
-------------+---------+-------------------------+---------+---------------+----------------------------+-----------+---------------------------------------------------------+------------------------------------------+--------------------------------------+-----------------------------------------------
camel-core   | 2.17.7  | camel-core-2.17.7.jar   | 3.33 MB | No            | Java 7 (2001), Java 6 (78) | 243       | org.apache.camel                                        | 7775395fbb7c2f2f2ee4ea2a1f72f54a7ab650c9 | org.apache.camel:camel-core:2.17.7   |
             |         |                         |         |               |                            |           | org.apache.camel.api.management (+1 subpackage)         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.builder (+1 subpackage)                |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.com.googlecode.concurrentlinkedhashmap |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component                              |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.bean                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.beanclass                    |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.binding                      |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.browse                       |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.controlbus                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.dataformat                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.dataset                      |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.direct                       |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.directvm                     |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.file (+1 subpackage)         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.language                     |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.log                          |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.mock                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.properties                   |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.ref                          |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.rest                         |                                          |                                      |
             |         |                         |         |               |                            |           | org.apache.camel.component.scheduler                    |                                          |                                      |
