JAR Health Check Report
=======================

JAR Dependencies
----------------
Dependencies between JAR files.

Artifact              | Uses                | Used by
----------------------+---------------------+----------------------
commons-beanutils     | commons-collections | commons-betwixt
                      | commons-logging     | commons-configuration
                      |                     | commons-digester
                      |                     | commons-jxpath
commons-betwixt       | commons-beanutils   | [none]
                      | commons-collections |
                      | commons-digester    |
                      | commons-logging     |
commons-codec         | [none]              | commons-configuration
commons-collections   | [none]              | commons-beanutils
                      |                     | commons-betwixt
                      |                     | commons-configuration
commons-compress      | [none]              | [none]
commons-configuration | commons-beanutils   | [none]
                      | commons-codec       |
                      | commons-collections |
                      | commons-digester    |
                      | commons-jxpath      |
                      | commons-lang        |
                      | commons-logging     |
commons-dbcp2         | commons-logging     | [none]
                      | commons-pool2       |
commons-dbutils       | [none]              | [none]
commons-digester      | commons-beanutils   | commons-betwixt
                      | commons-logging     | commons-configuration
commons-email         | [none]              | [none]
commons-fileupload    | commons-io          | [none]
commons-io            | [none]              | commons-fileupload
commons-jxpath        | commons-beanutils   | commons-configuration
commons-lang          | [none]              | commons-configuration
commons-logging       | [none]              | commons-beanutils
                      |                     | commons-betwixt
                      |                     | commons-configuration
                      |                     | commons-dbcp2
                      |                     | commons-digester
commons-net           | [none]              | [none]
commons-pool2         | [none]              | commons-dbcp2

