JAR Health Check Report
=======================

JAR Files
---------
List of JAR files found in classpath.

Artifact              | Version | Source                        | Size    | Multi-release | Java version (classes)                                | Resources | Packages                                          | Checksum (SHA-1)                         | Coordinates                                     | Issues
----------------------+---------+-------------------------------+---------+---------------+-------------------------------------------------------+-----------+---------------------------------------------------+------------------------------------------+-------------------------------------------------+-------
commons-beanutils     | 1.9.2   | commons-beanutils-1.9.2.jar   | 228 KB  | No            | Java 5 (137)                                          | 0         | org.apache.commons.beanutils (+4 subpackages)     | 7a87d845ad3a155297e8f67d9008f4c1e5656b71 | commons-beanutils:commons-beanutils:1.9.2       |
commons-betwixt       | 0.8     | commons-betwixt-0.8.jar       | 237 KB  | No            | Java 1.3 (166)                                        | 12        | org.apache.commons.betwixt (+12 subpackages)      | 76410daca8513df5a8d31c577b8c5b6040b22944 | commons-betwixt:commons-betwixt:0.8             |
commons-codec         | 1.10    | commons-codec-1.10.jar        | 278 KB  | No            | Java 6 (92)                                           | 128       | org.apache.commons.codec (+5 subpackages)         | 4b95f4897fa13f2cd904aee711aeafc0c5295cd8 | commons-codec:commons-codec:1.10                |
commons-collections   | 3.2.2   | commons-collections-3.2.2.jar | 575 KB  | No            | Java 1.3 (460)                                        | 0         | org.apache.commons.collections (+11 subpackages)  | 8ad72fe39fa8c91eaaf12aadb21e0c3661fe26d5 | commons-collections:commons-collections:3.2.2   |
commons-compress      | 1.5     | commons-compress-1.5.jar      | 250 KB  | No            | Java 5 (135)                                          | 0         | org.apache.commons.compress.* (14 subpackages)    | d2bd2c0bd328f1dabdf33e10b6d223ebcbe93343 | org.apache.commons:commons-compress:1.5         |
commons-configuration | 1.9     | commons-configuration-1.9.jar | 350 KB  | No            | Java 5 (192)                                          | 3         | org.apache.commons.configuration (+9 subpackages) | 5e8a4890284cf7eaa9241ace2cc07518d9519d22 | commons-configuration:commons-configuration:1.9 |
commons-dbcp2         | 2.5.0   | commons-dbcp2-2.5.0.jar       | 193 KB  | No            | Java 8 (76)                                           | 1         | org.apache.commons.dbcp2 (+3 subpackages)         | 731393d6f6d82a31458ea62c036523ab683546c8 | org.apache.commons:commons-dbcp2:2.5.0          |
commons-dbutils       | 1.5     | commons-dbutils-1.5.jar       | 60.4 KB | No            | Java 6 (43)                                           | 0         | org.apache.commons.dbutils (+2 subpackages)       | 3ff5aa0e4ab4e8ac7ce596e681d2eeea4258260b | commons-dbutils:commons-dbutils:1.5             |
commons-digester      | 2.1     | commons-digester-2.1.jar      | 192 KB  | No            | Java 5 (155)                                          | 1         | org.apache.commons.digester (+13 subpackages)     | 73a8001e7a54a255eef0f03521ec1805dc738ca0 | commons-digester:commons-digester:2.1           |
commons-email         | 1.5     | commons-email-1.5.jar         | 53.2 KB | No            | Java 6 (21)                                           | 0         | org.apache.commons.mail (+2 subpackages)          | e8e677c6362eba14ff3c476ba63ccb83132dbd52 | org.apache.commons:commons-email:1.5            |
commons-fileupload    | 1.3.3   | commons-fileupload-1.3.3.jar  | 68.9 KB | No            | Java 5 (49)                                           | 0         | org.apache.commons.fileupload (+5 subpackages)    | 04ff14d809195b711fd6bcc87e6777f886730ca1 | commons-fileupload:commons-fileupload:1.3.3     |
commons-io            | 2.4     | commons-io-2.4.jar            | 181 KB  | No            | Java 6 (110)                                          | 0         | org.apache.commons.io (+5 subpackages)            | b1b6ea3b7e4aa4f492509a4952029cd8e48019ad | commons-io:commons-io:2.4                       |
commons-jxpath        | 1.3     | commons-jxpath-1.3.jar        | 293 KB  | No            | Java 1.3 (180)                                        | 0         | org.apache.commons.jxpath (+15 subpackages)       | c22d7d0f0f40eb7059a23cfa61773a416768b137 | commons-jxpath:commons-jxpath:1.3               |
commons-lang          | 2.6     | commons-lang-2.6.jar          | 278 KB  | No            | Java 1.3 (133)                                        | 0         | org.apache.commons.lang (+9 subpackages)          | 0ce1edb914c94ebc388f086c6827e8bdeec71ac2 | commons-lang:commons-lang:2.6                   |
commons-logging       | 1.2     | commons-logging-1.2.jar       | 60.4 KB | No            | Java 1.2 (28)                                         | 0         | org.apache.commons.logging (+1 subpackage)        | 4bfc12adfe4842bf07b657f0369c4cb522955686 | commons-logging:commons-logging:1.2             |
commons-net           | 3.3     | commons-net-3.3.jar           | 274 KB  | No            | Java 5 (174)                                          | 0         | org.apache.commons.net (+19 subpackages)          | cd0d5510908225f76c5fe5a3f1df4fa44866f81e | commons-net:commons-net:3.3                     |
commons-pool2         | 2.6.0   | commons-pool2-2.6.0.jar       | 128 KB  | No            | Java 7 (77)                                           | 0         | org.apache.commons.pool2 (+2 subpackages)         | df5f4f61183daa8c4c1a9361c7b3ce2b67218eb2 | org.apache.commons:commons-pool2:2.6.0          |
Classpath             | -       | -                             | 3.61 MB | -             | Java 8 (76), Java 7 (77), Java 6 (266), Java 5 (842), | 145       | 147                                               | -                                        | -                                               | -
                      |         |                               |         |               | Java 1.3 (939), Java 1.2 (28)                         |           |                                                   |                                          |                                                 |

