JAR Health Check Report
=======================

Modules
-------
List of Java Modules found in classpath.

Artifact              | Module name           | Definition     | Automatic | Requires | Exports
----------------------+-----------------------+----------------+-----------+----------+---------------
commons-beanutils     | commons.beanutils     | Auto-generated | Yes       | -        | [all packages]
commons-betwixt       | commons.betwixt       | Auto-generated | Yes       | -        | [all packages]
commons-codec         | commons.codec         | Auto-generated | Yes       | -        | [all packages]
commons-collections   | commons.collections   | Auto-generated | Yes       | -        | [all packages]
commons-compress      | commons.compress      | Auto-generated | Yes       | -        | [all packages]
commons-configuration | commons.configuration | Auto-generated | Yes       | -        | [all packages]
commons-dbcp2         | commons.dbcp2         | Auto-generated | Yes       | -        | [all packages]
commons-dbutils       | commons.dbutils       | Auto-generated | Yes       | -        | [all packages]
commons-digester      | commons.digester      | Auto-generated | Yes       | -        | [all packages]
commons-email         | commons.email         | Auto-generated | Yes       | -        | [all packages]
commons-fileupload    | commons.fileupload    | Auto-generated | Yes       | -        | [all packages]
commons-io            | commons.io            | Auto-generated | Yes       | -        | [all packages]
commons-jxpath        | commons.jxpath        | Auto-generated | Yes       | -        | [all packages]
commons-lang          | commons.lang          | Auto-generated | Yes       | -        | [all packages]
commons-logging       | commons.logging       | Auto-generated | Yes       | -        | [all packages]
commons-net           | commons.net           | Auto-generated | Yes       | -        | [all packages]
commons-pool2         | commons.pool2         | Auto-generated | Yes       | -        | [all packages]

