JAR Health Check Report
=======================

Class Versions
--------------
Java class file format information.

Artifact               | Multi-release | Class files by Java version
-----------------------+---------------+----------------------------
spring-aop             | No            | Java 8 (265)
spring-beans           | No            | Java 8 (368)
spring-context         | No            | Java 8 (761)
spring-context-support | No            | Java 8 (108)
spring-core            | No            | Java 8 (634), Java 5 (216)
spring-expression      | No            | Java 8 (144)
spring-jdbc            | No            | Java 8 (271)
spring-jms             | No            | Java 8 (150)
spring-messaging       | No            | Java 8 (223)
spring-orm             | No            | Java 8 (93)
spring-tx              | No            | Java 8 (198)
spring-web             | No            | Java 8 (856)
Classpath              | -             | Java 8 (4071), Java 5 (216)

