JAR Health Check Report
=======================

JAR Files
---------
List of JAR files found in classpath.

Artifact               | Version       | Source                                   | Size    | Multi-release | Java version (classes)      | Resources | Packages                                                     | Checksum (SHA-1)                         | Coordinates                                              | Issues
-----------------------+---------------+------------------------------------------+---------+---------------+-----------------------------+-----------+--------------------------------------------------------------+------------------------------------------+----------------------------------------------------------+--------------------------------------------------
spring-aop             | 5.1.3.RELEASE | spring-aop-5.1.3.RELEASE.jar             | 360 KB  | No            | Java 8 (265)                | 2         | org.aopalliance.* (2 subpackages)                            | c6b69e5c73e17dd15b5a07d96ecfa2d2e7955705 | org.springframework:spring-aop:5.1.3.RELEASE             | Fat JAR: org.aopalliance.*, org.springframework.*
                       |               |                                          |         |               |                             |           | org.springframework.aop (+14 subpackages)                    |                                          |                                                          |
spring-beans           | 5.1.3.RELEASE | spring-beans-5.1.3.RELEASE.jar           | 656 KB  | No            | Java 8 (368)                | 6         | org.springframework.beans (+12 subpackages)                  | 9a15a7c84bd12516574bcaf87ffa38c1e65e8a2b | org.springframework:spring-beans:5.1.3.RELEASE           |
spring-context         | 5.1.3.RELEASE | spring-context-5.1.3.RELEASE.jar         | 1.05 MB | No            | Java 8 (761)                | 11        | org.springframework.cache                                    | 158929623ee0166fa930e88c3e2ca86a887088c0 | org.springframework:spring-context:5.1.3.RELEASE         |
                       |               |                                          |         |               |                             |           | org.springframework.cache.annotation                         |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.concurrent                         |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.config                             |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.interceptor                        |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.support                            |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.context (+8 subpackages)                 |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.ejb.* (2 subpackages)                    |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.format (+7 subpackages)                  |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.instrument.classloading (+5 subpackages) |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.jmx (+8 subpackages)                     |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.jndi (+1 subpackage)                     |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting                                 |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.rmi                             |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.soap                            |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.support                         |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling                               |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.annotation                    |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.concurrent                    |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.config                        |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.support                       |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scripting (+4 subpackages)               |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.stereotype                               |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.ui                                       |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.ui.context (+1 subpackage)               |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.validation (+3 subpackages)              |                                          |                                                          |
spring-context-support | 5.1.3.RELEASE | spring-context-support-5.1.3.RELEASE.jar | 177 KB  | No            | Java 8 (108)                | 1         | org.springframework.cache.caffeine                           | 8b99520030ab5f7eef5fa06a04294e6781d706c0 | org.springframework:spring-context-support:5.1.3.RELEASE |
                       |               |                                          |         |               |                             |           | org.springframework.cache.ehcache                            |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.jcache (+2 subpackages)            |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.cache.transaction                        |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.mail (+1 subpackage)                     |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.commonj                       |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.scheduling.quartz                        |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.ui.freemarker                            |                                          |                                                          |
spring-core            | 5.1.3.RELEASE | spring-core-5.1.3.RELEASE.jar            | 1.23 MB | No            | Java 8 (634), Java 5 (216)  | 1         | org.springframework.asm                                      | b1e5325d35bfb27e42d57e9295510cad54ed8fdf | org.springframework:spring-core:5.1.3.RELEASE            |
                       |               |                                          |         |               |                             |           | org.springframework.cglib (+8 subpackages)                   |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.core (+18 subpackages)                   |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.lang                                     |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.objenesis (+9 subpackages)               |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.util (+6 subpackages)                    |                                          |                                                          |
spring-expression      | 5.1.3.RELEASE | spring-expression-5.1.3.RELEASE.jar      | 274 KB  | No            | Java 8 (144)                | 1         | org.springframework.expression (+5 subpackages)              | 628a471a077ab80f7fd66a5f5e42e2d67e6a9607 | org.springframework:spring-expression:5.1.3.RELEASE      |
spring-jdbc            | 5.1.3.RELEASE | spring-jdbc-5.1.3.RELEASE.jar            | 395 KB  | No            | Java 8 (271)                | 3         | org.springframework.jdbc (+16 subpackages)                   | 4bab0879114befbe41000d2e35dc7b311659b86c | org.springframework:spring-jdbc:5.1.3.RELEASE            |
spring-jms             | 5.1.3.RELEASE | spring-jms-5.1.3.RELEASE.jar             | 254 KB  | No            | Java 8 (150)                | 2         | org.springframework.jms (+12 subpackages)                    | 3f0ea0c8b898290b49c22eb7556b4d076593a95b | org.springframework:spring-jms:5.1.3.RELEASE             |
spring-messaging       | 5.1.3.RELEASE | spring-messaging-5.1.3.RELEASE.jar       | 374 KB  | No            | Java 8 (223)                | 0         | org.springframework.messaging (+16 subpackages)              | 160a45bb0e18eb6a6ed1e332d6faf7f81603a3e3 | org.springframework:spring-messaging:5.1.3.RELEASE       |
spring-orm             | 5.1.3.RELEASE | spring-orm-5.1.3.RELEASE.jar             | 195 KB  | No            | Java 8 (93)                 | 0         | org.springframework.orm (+6 subpackages)                     | b18a3b81dd2dc712cbb2aafaa7b581e9faf00506 | org.springframework:spring-orm:5.1.3.RELEASE             |
spring-tx              | 5.1.3.RELEASE | spring-tx-5.1.3.RELEASE.jar              | 250 KB  | No            | Java 8 (198)                | 3         | org.springframework.dao (+2 subpackages)                     | ddce255764fe4211c1b189a55384037132b5afd2 | org.springframework:spring-tx:5.1.3.RELEASE              |
                       |               |                                          |         |               |                             |           | org.springframework.jca.* (9 subpackages)                    |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.transaction (+6 subpackages)             |                                          |                                                          |
spring-web             | 5.1.3.RELEASE | spring-web-5.1.3.RELEASE.jar             | 1.31 MB | No            | Java 8 (856)                | 4         | org.springframework.http (+19 subpackages)                   | c875df33e6c5ac0df53e727a08d42b316e69918b | org.springframework:spring-web:5.1.3.RELEASE             |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.caucho                          |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.httpinvoker                     |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.remoting.jaxws                           |                                          |                                                          |
                       |               |                                          |         |               |                             |           | org.springframework.web (+30 subpackages)                    |                                          |                                                          |
Classpath              | -             | -                                        | 6.46 MB | -             | Java 8 (4071), Java 5 (216) | 34        | 285                                                          | -                                        | -                                                        | -

