JAR Health Check Report
=======================

JAR Manifests
-------------
Information found in META-INF/MANIFEST.MF.

Artifact               | General                                       | Runtime | Implementation         | Specification | Signature
-----------------------+-----------------------------------------------+---------+------------------------+---------------+----------
spring-aop             | Automatic-Module-Name: spring.aop             |         | spring-aop             |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-beans           | Automatic-Module-Name: spring.beans           |         | spring-beans           |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-context         | Automatic-Module-Name: spring.context         |         | spring-context         |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-context-support | Automatic-Module-Name: spring.context.support |         | spring-context-support |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-core            | Automatic-Module-Name: spring.core            |         | spring-core            |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-expression      | Automatic-Module-Name: spring.expression      |         | spring-expression      |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-jdbc            | Automatic-Module-Name: spring.jdbc            |         | spring-jdbc            |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-jms             | Automatic-Module-Name: spring.jms             |         | spring-jms             |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-messaging       | Automatic-Module-Name: spring.messaging       |         | spring-messaging       |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-orm             | Automatic-Module-Name: spring.orm             |         | spring-orm             |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-tx              | Automatic-Module-Name: spring.tx              |         | spring-tx              |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |
spring-web             | Automatic-Module-Name: spring.web             |         | spring-web             |               |
                       | Created-By: 1.8.0_144 (Oracle Corporation)    |         | Version: 5.1.3.RELEASE |               |
                       | Manifest-Version: 1.0                         |         |                        |               |

