JAR Health Check Report
=======================

Updates
-------
Information about newer major, minor, and patch versions of artifacts.

Artifact               | Version       | Updates
-----------------------+---------------+----------
spring-aop             | 5.1.3.RELEASE | [unknown]
spring-beans           | 5.1.3.RELEASE | [unknown]
spring-context         | 5.1.3.RELEASE | [unknown]
spring-context-support | 5.1.3.RELEASE | [unknown]
spring-core            | 5.1.3.RELEASE | [unknown]
spring-expression      | 5.1.3.RELEASE | [unknown]
spring-jdbc            | 5.1.3.RELEASE | [unknown]
spring-jms             | 5.1.3.RELEASE | [unknown]
spring-messaging       | 5.1.3.RELEASE | [unknown]
spring-orm             | 5.1.3.RELEASE | [unknown]
spring-tx              | 5.1.3.RELEASE | [unknown]
spring-web             | 5.1.3.RELEASE | [unknown]

