JAR Health Check Report
=======================

Duplicate Classes
-----------------
Duplicate classes, shadowed classes, and duplicate resources.

Class/Resource                                           | Sources                           | Similarity
---------------------------------------------------------+-----------------------------------+--------------
javax.xml.XMLConstants                                   | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.DatatypeConfigurationException        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.DatatypeConstants                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.DatatypeConstants$1                   | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.DatatypeConstants$Field               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.DatatypeFactory                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.Duration                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.FactoryFinder                         | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport$1                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport$2                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport$3                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport$4                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.SecuritySupport$5                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.datatype.XMLGregorianCalendar                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.namespace.NamespaceContext                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.namespace.QName                                | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.namespace.QName$1                              | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.DocumentBuilder                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.DocumentBuilderFactory                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.FactoryConfigurationError              | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.FactoryFinder                          | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.ParserConfigurationException           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SAXParser                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SAXParserFactory                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport$1                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport$2                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport$3                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport$4                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.parsers.SecuritySupport$5                      | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.EventFilter                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.FactoryConfigurationError               | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.FactoryFinder                           | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.Location                                | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport                         | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport$1                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport$2                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport$3                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport$4                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.SecuritySupport$5                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.StreamFilter                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLEventFactory                         | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLEventReader                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLEventWriter                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLInputFactory                         | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLOutputFactory                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLReporter                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLResolver                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLStreamConstants                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLStreamException                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLStreamReader                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.XMLStreamWriter                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.events.Attribute                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.stream.events.Characters                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
